MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,AdultBodyMass_g,Mass (kg),PopulationDensity_n/km2,Biomass_density,Lat,Lon
Rodentia,Muridae,Conilurus,penicillatus,Conilurus penicillatus,175,0.175,,0,-12.88,133.02
Rodentia,Sciuridae,Spermophilus,lateralis,Spermophilus lateralis,175,0.175,,0,44.51,-114.27
Rodentia,Sciuridae,Spermophilus,tridecemlineatus,Spermophilus tridecemlineatus,175,0.175,389,68.075,41.11,-98.22
Rodentia,Muridae,Sigmodon,alleni,Sigmodon alleni,174,0.174,,0,19.68,-100.55
Insectivora,Tenrecidae,Echinops,telfairi,Echinops telfairi,167,0.167,,0,-22.58,44.95
Primates,Tarsiidae,Tarsius,spectrum,Tarsius spectrum,166,0.166,200,33.2,1.04,122.75
Rodentia,Octodontidae,Octodon,bridgesi,Octodon bridgesi,162,0.162,,0,-36.85,-71.72
Rodentia,Bathyergidae,Heliophobius,argenteocinereus,Heliophobius argenteocinereus,160,0.16,5800,928,-9.69,32.96
Lagomorpha,Ochotonidae,Ochotona,princeps,Ochotona princeps,158,0.158,775,122.45,44.92,-115.68
Rodentia,Muridae,Rattus,sordidus,Rattus sordidus,157,0.157,,0,-16.62,146.84
Rodentia,Geomyidae,Geomys,bursarius,Geomys bursarius,154,0.154,1250,192.5,38.9,-96.1
Rodentia,Octodontidae,Octodontomys,gliroides,Octodontomys gliroides,152,0.152,,0,-23.54,-67.05
Rodentia,Sciuridae,Spermophilus,tereticaudus,Spermophilus tereticaudus,148,0.148,1460,216.08,32.04,-113.46
Rodentia,Muridae,Rattus,colletti,Rattus colletti,146,0.146,,0,-12.59,133.54
Rodentia,Muridae,Neotoma,lepida,Neotoma lepida,144,0.144,669,96.336,33.5,-114.79
Rodentia,Sciuridae,Funisciurus,lemniscatus,Funisciurus lemniscatus,141,0.141,,0,0.02,13.9
Insectivora,Talpidae,Scapanus,townsendii,Scapanus townsendii,140,0.14,1240,173.6,44.94,-122.98
Rodentia,Muridae,Isthmomys,pirrensis,Isthmomys pirrensis,138,0.138,,0,7.86,-77.64
Rodentia,Dipodidae,Jaculus,orientalis,Jaculus orientalis,138,0.138,,0,29.53,12.46
Rodentia,Muridae,Tatera,indica,Tatera indica,138,0.138,,0,20.87,64.45
Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,Gymnobelideus leadbeateri,137,0.137,258,35.346,-37.49,145.54
Chiroptera,Pteropodidae,Rousettus,egyptiacus,Rousettus egyptiacus,132,0.132,,0,1.26,24.65
Rodentia,Muridae,Sigmodon,leucotis,Sigmodon leucotis,132,0.132,,0,21.9,-101.92
Scandentia,Tupaiidae,Tupaia,glis,Tupaia glis,132,0.132,404,53.328,0.24,104.89
Rodentia,Octodontidae,Aconaemys,fuscus,Aconaemys fuscus,130,0.13,,0,-37.23,-71.43
Rodentia,Muridae,Parotomys,brantsii,Parotomys brantsii,130,0.13,,0,-28.85,20.83
Rodentia,Geomyidae,Thomomys,umbrinus,Thomomys umbrinus,126,0.126,,0,25.48,-104.34
Primates,Callitrichidae,Callithrix,pygmaea,Callithrix pygmaea,125,0.125,15.9,1.9875,-5.96,-69.94
Rodentia,Octodontidae,Octomys,mimax,Octomys mimax,125,0.125,,0,-29.37,-68.52
Rodentia,Muridae,Rattus,fuscipes,Rattus fuscipes,125,0.125,1080,135,-26.98,133.65
Rodentia,Muridae,Thallomys,nigricauda,Thallomys nigricauda,125,0.125,,0,-21.81,20.5
Insectivora,Tenrecidae,Hemicentetes,semispinosus,Hemicentetes semispinosus,124,0.124,,0,-19.31,48.44
Chiroptera,Megadermatidae,Macroderma,gigas,Macroderma gigas,124,0.124,,0,-17.6,133.75
Rodentia,Geomyidae,Thomomys,bottae,Thomomys bottae,123,0.123,5250,645.75,32.6,-111.75
Rodentia,Muridae,Sigmodon,ochrognathus,Sigmodon ochrognathus,122,0.122,,0,29.18,-107.38
Rodentia,Muridae,Arvicola,terrestris,Arvicola terrestris,120,0.12,57100,6852,51.2,65.2
Diprotodontia,Petauridae,Petaurus,breviceps,Petaurus breviceps,119,0.119,432,51.408,-20.7,138.59
Primates,Tarsiidae,Tarsius,syrichta,Tarsius syrichta,116,0.116,,0,3.44,122.67
Rodentia,Muridae,Otomys,irroratus,Otomys irroratus,115,0.115,3020,347.3,-25.97,25.61
Rodentia,Bathyergidae,Cryptomys,damarensis,Cryptomys damarensis,112,0.112,,0,-18.37,20.41
Dasyuromorphia,Dasyuridae,Dasycercus,byrnei,Dasycercus byrnei,112,0.112,,0,-26.08,140.94
Rodentia,Sciuridae,Funisciurus,congicus,Funisciurus congicus,112,0.112,1000,112,-8.79,19.59
Rodentia,Muridae,Meriones,tristrami,Meriones tristrami,112,0.112,,0,33.07,38.87
Rodentia,Muridae,Megadontomys,thomasi,Megadontomys thomasi,111,0.111,,0,17.66,-99.6
Rodentia,Muridae,Sigmodon,hispidus,Sigmodon hispidus,111,0.111,1750,194.25,24.06,-90.89
Rodentia,Sciuridae,Funisciurus,isabella,Funisciurus isabella,109,0.109,,0,2.09,12.41
Rodentia,Heteromyidae,Dipodomys,deserti,Dipodomys deserti,108,0.108,161,17.388,34.87,-115.68
Rodentia,Sciuridae,Spermophilus,spilosoma,Spermophilus spilosoma,107,0.107,123,13.161,32.42,-105.4
Rodentia,Muridae,Rattus,lutreolus,Rattus lutreolus,106,0.106,567,60.102,-29.7,145.08
Rodentia,Geomyidae,Thomomys,talpoides,Thomomys talpoides,105,0.105,2230,234.15,44.59,-109.79
Rodentia,Sciuridae,Ammospermophilus,leucurus,Ammospermophilus leucurus,104,0.104,14.5,1.508,33.5,-113.4
Rodentia,Muridae,Otomys,unisulcatus,Otomys unisulcatus,103,0.103,,0,-31.59,22.07
Dasyuromorphia,Dasyuridae,Dasycercus,cristicauda,Dasycercus cristicauda,101,0.101,,0,-25.02,127.2
Rodentia,Octodontidae,Spalacopus,cyanus,Spalacopus cyanus,101,0.101,4500,454.5,-31.66,-71.42
Didelphimorphia,Didelphidae,Monodelphis,domestica,Monodelphis domestica,95.2,0.0952,400,38.08,-14.13,-49.15
Rodentia,Bathyergidae,Cryptomys,bocagei,Cryptomys bocagei,93.9,0.0939,,0,-13.1,19.9
Rodentia,Muridae,Microtus,xanthognathus,Microtus xanthognathus,92.7,0.0927,1000,92.7,61.45,-124.28
Rodentia,Muridae,Tatera,afra,Tatera afra,92.1,0.0921,,0,-32.78,20.36
Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Phyllostomus hastatus,91.1,0.0911,,0,-4.05,-61.68
Rodentia,Muridae,Mystromys,albicaudatus,Mystromys albicaudatus,86.8,0.0868,,0,-29.94,25.08
Rodentia,Octodontidae,Tympanoctomys,barrerae,Tympanoctomys barrerae,86,0.086,,0,-35.64,-68.24
Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,85.8,0.0858,,0,-5.12,133.56
Rodentia,Muridae,Oxymycterus,roberti,Oxymycterus roberti,83.8,0.0838,270,22.626,-17.57,-44.25
Didelphimorphia,Didelphidae,Monodelphis,brevicaudata,Monodelphis brevicaudata,79.9,0.0799,49,3.9151,-0.82,-60.52
Carnivora,Mustelidae,Mustela,nivalis,Mustela nivalis,79.9,0.0799,12.9,1.03071,51.84,0.27
Rodentia,Muridae,Reithrodon,auritus,Reithrodon auritus,79.8,0.0798,62,4.9476,-39.77,-64.13
Rodentia,Muridae,Pseudomys,gracilicaudatus,Pseudomys gracilicaudatus,79.6,0.0796,,0,-24.45,149.32
Insectivora,Tenrecidae,Limnogale,mergulus,Limnogale mergulus,78.7,0.0787,,0,-20.88,47.63
Chiroptera,Phyllostomidae,Chrotopterus,auritus,Chrotopterus auritus,77.9,0.0779,,0,-4.93,-67.71
Rodentia,Muridae,Euneomys,chinchilloides,Euneomys chinchilloides,75.6,0.0756,,0,-53.46,-69.23
Rodentia,Sciuridae,Tamias,merriami,Tamias merriami,74.8,0.0748,,0,35.54,-119.28
Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,74,0.074,,0,4.31,128.79
Rodentia,Bathyergidae,Cryptomys,hottentotus,Cryptomys hottentotus,73.8,0.0738,816,60.2208,-19.22,26.68
Rodentia,Muridae,Tatera,leucogaster,Tatera leucogaster,73.8,0.0738,166,12.2508,-19.25,23.92
Rodentia,Heteromyidae,Heteromys,desmarestianus,Heteromys desmarestianus,72.5,0.0725,661,47.9225,12.8,-85.26
Rodentia,Sciuridae,Glaucomys,volans,Glaucomys volans,72,0.072,448,32.256,30.9,-84.83
Rodentia,Muridae,Meriones,hurrianae,Meriones hurrianae,71.1,0.0711,,0,27.18,64.47
Rodentia,Muridae,Auliscomys,boliviensis,Auliscomys boliviensis,71,0.071,,0,-17.39,-68.49
Rodentia,Muridae,Stochomys,longicaudatus,Stochomys longicaudatus,70.9,0.0709,84.4,5.98396,0.35,19.21
Rodentia,Muridae,Auliscomys,micropus,Auliscomys micropus,70.8,0.0708,231,16.3548,-42.96,-71.91
Rodentia,Heteromyidae,Heteromys,anomalus,Heteromys anomalus,69.1,0.0691,252,17.4132,9.9,-68.56
Rodentia,Myoxidae,Graphiurus,ocularis,Graphiurus ocularis,68.8,0.0688,,0,-30.24,22.49
Rodentia,Muridae,Graomys,griseoflavus,Graomys griseoflavus,68.4,0.0684,,0,-30.38,-62.15
Insectivora,Chrysochloridae,Amblysomus,hottentotus,Amblysomus hottentotus,67.6,0.0676,1000,67.6,-29.34,28.49
Rodentia,Muridae,Lemmus,lemmus,Lemmus lemmus,67.6,0.0676,,0,67.92,31.27
Rodentia,Muridae,Millardia,meltada,Millardia meltada,67.2,0.0672,,0,20.1,76.1
Primates,Galagonidae,Galagoides,demidoff,Galagoides demidoff,67.1,0.0671,58.4,3.91864,-1.1,13.17
Primates,Cheirogaleidae,Microcebus,murinus,Microcebus murinus,66.6,0.0666,461,30.7026,-18.95,46.41
Rodentia,Muridae,Peromyscus,megalops,Peromyscus megalops,66.2,0.0662,,0,16.95,-97.23
Chiroptera,Phyllostomidae,Artibeus,fimbriatus,Artibeus fimbriatus,63.9,0.0639,,0,-23.48,-50.5
Rodentia,Muridae,Lemmus,sibiricus,Lemmus sibiricus,63.3,0.0633,1800,113.94,64.51,-1.76E-08
Rodentia,Heteromyidae,Dipodomys,heermanni,Dipodomys heermanni,63.2,0.0632,1170,73.944,36.65,-120.54
Didelphimorphia,Didelphidae,Marmosa,robinsoni,Marmosa robinsoni,61.7,0.0617,186,11.4762,7.11,-75.32
Rodentia,Sciuridae,Tamias,palmeri,Tamias palmeri,60.8,0.0608,,0,36.33,-115.82
Insectivora,Talpidae,Scapanus,orarius,Scapanus orarius,60.7,0.0607,5000,303.5,44.72,-120.42
Chiroptera,Noctilionidae,Noctilio,leporinus,Noctilio leporinus,60.3,0.0603,,0,-3.78,-72
Rodentia,Heteromyidae,Dipodomys,agilis,Dipodomys agilis,60.2,0.0602,693,41.7186,30.33,-116.05
Rodentia,Dipodidae,Jaculus,jaculus,Jaculus jaculus,59.8,0.0598,,0,24.04,21.36
Insectivora,Talpidae,Scapanus,latimanus,Scapanus latimanus,59.7,0.0597,5000,298.5,37.65,-119.9
Macroscelidea,Macroscelididae,Elephantulus,myurus,Elephantulus myurus,59.5,0.0595,,0,-23.07,28.47
Chiroptera,Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,59.3,0.0593,,0,-3.73,-66.56
Chiroptera,Pteropodidae,Eonycteris,spelaea,Eonycteris spelaea,58.7,0.0587,,0,10.04,101.56
Rodentia,Muridae,Dicrostonyx,groenlandicus,Dicrostonyx groenlandicus,58.7,0.0587,525,30.8175,68.22,-90.36
Rodentia,Muridae,Meriones,unguiculatus,Meriones unguiculatus,57.7,0.0577,,0,45.12,108.49
Rodentia,Muridae,Microtus,californicus,Microtus californicus,57.4,0.0574,13100,751.94,37.02,-119.72
Rodentia,Muridae,Aethomys,namaquensis,Aethomys namaquensis,57.2,0.0572,1380,78.936,-23.16,26.01
Rodentia,Muridae,Sekeetamys,calurus,Sekeetamys calurus,56.6,0.0566,,0,25.29,39.01
Rodentia,Heteromyidae,Dipodomys,microps,Dipodomys microps,56.3,0.0563,1180,66.434,38.81,-116.2
Rodentia,Muridae,Mastomys,natalensis,Mastomys natalensis,56.1,0.0561,1720,96.492,-9.72,12.32
Rodentia,Muridae,Desmodillus,auricularis,Desmodillus auricularis,54.9,0.0549,1280,70.272,-24.93,21.34
Macroscelidea,Macroscelididae,Elephantulus,rufescens,Elephantulus rufescens,52.8,0.0528,200,10.56,1.19,37.53
Rodentia,Muridae,Gerbillus,perpallidus,Gerbillus perpallidus,52.3,0.0523,,0,30.22,27.89
Rodentia,Muridae,Microtus,townsendii,Microtus townsendii,52.1,0.0521,34600,1802.66,45.56,-124.56
Chiroptera,Molossidae,Eumops,perotis,Eumops perotis,50.9,0.0509,,0,3.99,-78.6
Rodentia,Sciuridae,Tamias,amoenus,Tamias amoenus,50.7,0.0507,152,7.7064,45.07,-118.41
Rodentia,Heteromyidae,Dipodomys,ordii,Dipodomys ordii,50.4,0.0504,297,14.9688,34.94,-109.2
Rodentia,Muridae,Saccostomus,campestris,Saccostomus campestris,50.3,0.0503,22,1.1066,-19.68,24.33
Rodentia,Muridae,Lemniscomys,rosalia,Lemniscomys rosalia,50,0.05,,0,-15.23,25.24
Macroscelidea,Macroscelididae,Elephantulus,edwardii,Elephantulus edwardii,49.7,0.0497,1470,73.059,-31.59,21.59
Rodentia,Heteromyidae,Liomys,irroratus,Liomys irroratus,49,0.049,,0,21.89,-100.89
Macroscelidea,Macroscelididae,Elephantulus,intufi,Elephantulus intufi,48.9,0.0489,,0,-19.94,21.12
Rodentia,Muridae,Phyllotis,darwini,Phyllotis darwini,48.9,0.0489,3670,179.463,-30.74,-71.45
Chiroptera,Pteropodidae,Melonycteris,melanops,Melonycteris melanops,47.6,0.0476,,0,-4.33,150.05
Insectivora,Tenrecidae,Microgale,talazaci,Microgale talazaci,47.4,0.0474,,0,-17.69,48.57
Rodentia,Muridae,Dicrostonyx,rubricatus,Dicrostonyx rubricatus,46.9,0.0469,,0,,
Rodentia,Muridae,Calomys,callosus,Calomys callosus,45.7,0.0457,660,30.162,-21.08,-52.05
Macroscelidea,Macroscelididae,Elephantulus,brachyrhynchus,Elephantulus brachyrhynchus,45.1,0.0451,33,1.4883,-12.52,26.13
Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Antechinus flavipes,44.8,0.0448,689,30.8672,-26.92,134.3
Rodentia,Muridae,Microtus,longicaudus,Microtus longicaudus,44.8,0.0448,1200,53.76,50.17,-125.11
Diprotodontia,Burramyidae,Burramys,parvus,Burramys parvus,44.3,0.0443,6130,271.559,-36.29,147.97
Rodentia,Muridae,Apodemus,mystacinus,Apodemus mystacinus,43.9,0.0439,,0,38.65,29.58
Rodentia,Muridae,Microtus,montanus,Microtus montanus,42.9,0.0429,3160,135.564,42.95,-113.63
Rodentia,Sciuridae,Tamias,minimus,Tamias minimus,42.9,0.0429,223,9.5667,50.47,-109.38
Rodentia,Muridae,Gerbillus,pyramidum,Gerbillus pyramidum,42.8,0.0428,,0,25,30.62
Rodentia,Muridae,Peromyscus,californicus,Peromyscus californicus,42.7,0.0427,3670,156.709,34.02,-118.61
Rodentia,Muridae,Microtus,ochrogaster,Microtus ochrogaster,42.5,0.0425,9110,387.175,42.53,-98.63
Rodentia,Muridae,Microtus,pennsylvanicus,Microtus pennsylvanicus,42.5,0.0425,2550,108.375,51.44,-108.29
Scandentia,Tupaiidae,Ptilocercus,lowii,Ptilocercus lowii,42.5,0.0425,,0,0.5,106.78
Rodentia,Heteromyidae,Liomys,salvini,Liomys salvini,42,0.042,578,24.276,12.97,-88.91
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus jamaicensis,41.6,0.0416,,0,0.29,-71.79
Rodentia,Heteromyidae,Dipodomys,nitratoides,Dipodomys nitratoides,41.6,0.0416,,0,35.89,-119.78
Chiroptera,Phyllostomidae,Phyllostomus,elongatus,Phyllostomus elongatus,41.4,0.0414,,0,-5.62,-58.25
Insectivora,Chrysochloridae,Chrysochloris,asiatica,Chrysochloris asiatica,40.9,0.0409,1000,40.9,-32.08,19.31
Rodentia,Muridae,Rhabdomys,pumilio,Rhabdomys pumilio,40.7,0.0407,1810,73.667,-16.35,24.72
Rodentia,Muridae,Gerbillus,pusillus,Gerbillus pusillus,39.8,0.0398,,0,-0.29,37.06
Rodentia,Bathyergidae,Heterocephalus,glaber,Heterocephalus glaber,39.4,0.0394,11100,437.34,4.45,43.84
Rodentia,Muridae,Akodon,longipilis,Akodon longipilis,38.9,0.0389,2730,106.197,-42.23,-71.19
Macroscelidea,Macroscelididae,Macroscelides,proboscideus,Macroscelides proboscideus,38.6,0.0386,,0,-26.24,19.64
Insectivora,Tenrecidae,Microgale,dobsoni,Microgale dobsoni,38.5,0.0385,,0,-18.56,48.58
Rodentia,Muridae,Gerbillurus,setzeri,Gerbillurus setzeri,38.3,0.0383,,0,-22.16,14.03
Dasyuromorphia,Dasyuridae,Pseudantechinus,macdonnellensis,Pseudantechinus macdonnellensis,37.9,0.0379,,0,-21.82,125.27
Rodentia,Heteromyidae,Dipodomys,merriami,Dipodomys merriami,37.6,0.0376,370,13.912,30.82,-108.63
Rodentia,Muridae,Steatomys,pratensis,Steatomys pratensis,37.5,0.0375,27.5,1.03125,-10.75,26.26
Chiroptera,Phyllostomidae,Diaemus,youngi,Diaemus youngi,36.5,0.0365,,0,-3.19,-67.19
Chiroptera,Phyllostomidae,Phyllostomus,discolor,Phyllostomus discolor,36.5,0.0365,,0,-1.69,-65.94
Rodentia,Muridae,Clethrionomys,rufocanus,Clethrionomys rufocanus,36.4,0.0364,,0,53.95,0.04
Rodentia,Muridae,Gerbillurus,vallinus,Gerbillurus vallinus,35.3,0.0353,,0,-27.61,18.82
Rodentia,Muridae,Microtus,mexicanus,Microtus mexicanus,34.9,0.0349,1500,52.35,23.6,-102.58
Rodentia,Muridae,Notomys,cervinus,Notomys cervinus,34.8,0.0348,,0,-27.92,137.84
Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,33.5,0.0335,,0,9.43,100.48
Rodentia,Muridae,Microtus,oeconomus,Microtus oeconomus,33.1,0.0331,4040,133.724,58.24,0.12
Chiroptera,Phyllostomidae,Desmodus,rotundus,Desmodus rotundus,33,0.033,,0,-3.4,-72.84
Insectivora,Soricidae,Crocidura,olivieri,Crocidura olivieri,32.9,0.0329,73.4,2.41486,16.67,19.21
Insectivora,Tenrecidae,Oryzorictes,hova,Oryzorictes hova,32.6,0.0326,,0,-16.96,49.29
Rodentia,Muridae,Notomys,alexis,Notomys alexis,32.3,0.0323,,0,-25.59,127.54
Rodentia,Muridae,Apodemus,flavicollis,Apodemus flavicollis,31.6,0.0316,1770,55.932,51.12,25.97
Chiroptera,Noctilionidae,Noctilio,albiventris,Noctilio albiventris,31.3,0.0313,,0,-7.11,-64.06
Rodentia,Muridae,Gerbillus,allenbyi,Gerbillus allenbyi,31.1,0.0311,,0,32.13,34.77
Rodentia,Muridae,Podomys,floridanus,Podomys floridanus,30.8,0.0308,,0,27.63,-81.6
Insectivora,Soricidae,Crocidura,flavescens,Crocidura flavescens,30.5,0.0305,,0,-30.94,25.23
Rodentia,Muridae,Phodopus,sungorus,Phodopus sungorus,30.4,0.0304,60,1.824,50.89,79.18
Rodentia,Muridae,Myopus,schisticolor,Myopus schisticolor,30,0.03,,0,57.75,89.18
Rodentia,Muridae,Microtus,canicaudus,Microtus canicaudus,29.9,0.0299,,0,44.97,-122.91
Rodentia,Muridae,Gerbillurus,tytonis,Gerbillurus tytonis,29.8,0.0298,1700,50.66,-24.78,15.47
Chiroptera,Pteropodidae,Nyctimene,albiventer,Nyctimene albiventer,29.8,0.0298,,0,-4.02,140.19
Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Antechinus stuartii,29.7,0.0297,329,9.7713,-27.86,147.65
Didelphimorphia,Didelphidae,Gracilinanus,microtarsus,Gracilinanus microtarsus,29.6,0.0296,,0,-24.9,-46.63
Rodentia,Muridae,Peromyscus,sitkensis,Peromyscus sitkensis,28.3,0.0283,1010,28.583,56.52,-133.81
Chiroptera,Phyllostomidae,Diphylla,ecaudata,Diphylla ecaudata,28.1,0.0281,,0,2.82,-68.91
Rodentia,Muridae,Akodon,lanosus,Akodon lanosus,27.9,0.0279,,0,-52.76,-71.02
Rodentia,Muridae,Peromyscus,gossypinus,Peromyscus gossypinus,27.7,0.0277,513,14.2101,31.36,-86.16
Chiroptera,Phyllostomidae,Tonatia,bidens,Tonatia bidens,27.7,0.0277,,0,-4.75,-63.2
Rodentia,Muridae,Oligoryzomys,longicaudatus,Oligoryzomys longicaudatus,27.6,0.0276,356,9.8256,-33.71,-69.02
Rodentia,Muridae,Gerbillus,dasyurus,Gerbillus dasyurus,27.5,0.0275,,0,23.77,46.12
Rodentia,Muridae,Phodopus,campbelli,Phodopus campbelli,27.1,0.0271,20,0.542,44.64,103.32
Diprotodontia,Burramyidae,Cercartetus,nanus,Cercartetus nanus,27,0.027,789,21.303,-35.06,146.65
Rodentia,Muridae,Gerbillus,gerbillus,Gerbillus gerbillus,27,0.027,,0,21.6,17.18
Rodentia,Muridae,Peromyscus,truei,Peromyscus truei,27,0.027,1420,38.34,31.77,-109.51
Rodentia,Muridae,Akodon,olivaceus,Akodon olivaceus,26.9,0.0269,2540,68.326,-35.02,-72.39
Rodentia,Muridae,Microtus,arvalis,Microtus arvalis,26.9,0.0269,17600,473.44,50.72,20.47
Chiroptera,Vespertilionidae,Lasiurus,cinereus,Lasiurus cinereus,26.8,0.0268,,0,12.6,-100.84
Rodentia,Muridae,Acomys,spinosissimus,Acomys spinosissimus,26.5,0.0265,204,5.406,-15.08,32.38
Dasyuromorphia,Dasyuridae,Sminthopsis,laniger,Sminthopsis laniger,26.1,0.0261,,0,-27.09,131.24
Rodentia,Muridae,Akodon,albiventer,Akodon albiventer,26,0.026,,0,-21.02,-67.76
Rodentia,Muridae,Microtus,pinetorum,Microtus pinetorum,26,0.026,1460,37.96,37.42,-84.91
Rodentia,Muridae,Gerbillurus,paeba,Gerbillurus paeba,25.9,0.0259,873,22.6107,-24.89,22.75
Rodentia,Muridae,Gerbillus,nanus,Gerbillus nanus,25.5,0.0255,,0,21.7,33.72
Chiroptera,Vespertilionidae,Myotis,vivesi,Myotis vivesi,25.5,0.0255,,0,27.7,-112.6
Rodentia,Muridae,Akodon,azarae,Akodon azarae,25.3,0.0253,7790,197.087,-29.65,-60.74
Rodentia,Muridae,Phenacomys,intermedius,Phenacomys intermedius,25.2,0.0252,557,14.0364,47,-120.31
Chiroptera,Pteropodidae,Paranyctimene,raptor,Paranyctimene raptor,24.7,0.0247,,0,-5.79,140.72
Chiroptera,Phyllostomidae,Leptonycteris,curasoae,Leptonycteris curasoae,24.4,0.0244,,0,19.01,-88.77
Chiroptera,Phyllostomidae,Sturnira,tildae,Sturnira tildae,24.4,0.0244,,0,-7.74,-56.8
Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,Platyrrhinus lineatus,24.1,0.0241,,0,-10.71,-57.27
Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,Sminthopsis macroura,24,0.024,,0,-24.29,132.23
Rodentia,Muridae,Peromyscus,boylii,Peromyscus boylii,23.9,0.0239,525,12.5475,32.94,-110.96
Chiroptera,Vespertilionidae,Lasiurus,intermedius,Lasiurus intermedius,22.9,0.0229,,0,27.01,-90.45
Rodentia,Muridae,Ochrotomys,nuttalli,Ochrotomys nuttalli,22.8,0.0228,304,6.9312,33.05,-85.93
Rodentia,Muridae,Peromyscus,eremicus,Peromyscus eremicus,22.7,0.0227,425,9.6475,29.7,-109.52
Insectivora,Chrysochloridae,Eremitalpa,granti,Eremitalpa granti,22.4,0.0224,37.1,0.83104,,
Chiroptera,Vespertilionidae,Antrozous,pallidus,Antrozous pallidus,22.2,0.0222,,0,34.54,-99.34
Rodentia,Dipodidae,Napaeozapus,insignis,Napaeozapus insignis,22.2,0.0222,667,14.8074,44.4,-76.22
Rodentia,Muridae,Acomys,subspinosus,Acomys subspinosus,21.9,0.0219,3540,77.526,-32.84,21.31
Rodentia,Muridae,Apodemus,sylvaticus,Apodemus sylvaticus,21.9,0.0219,780,17.082,47.53,14.65
Rodentia,Muridae,Arborimus,longicaudus,Arborimus longicaudus,21.8,0.0218,,0,43.6,-123.01
Rodentia,Muridae,Onychomys,torridus,Onychomys torridus,21.7,0.0217,157,3.4069,33.55,-114.24
Rodentia,Muridae,Apodemus,hermonensis,Apodemus hermonensis,20.7,0.0207,,0,33.51,35.78
Rodentia,Muridae,Clethrionomys,glareolus,Clethrionomys glareolus,20.7,0.0207,3700,76.59,53.56,42.34
Rodentia,Muridae,Calomys,lepidus,Calomys lepidus,20.6,0.0206,,0,-16.37,-70.61
Rodentia,Muridae,Calomys,musculinus,Calomys musculinus,20.2,0.0202,257,5.1914,-31.61,-63.02
Chiroptera,Phyllostomidae,Sturnira,lilium,Sturnira lilium,20.2,0.0202,,0,-2.47,-72.71
Rodentia,Muridae,Peromyscus,maniculatus,Peromyscus maniculatus,20.1,0.0201,661,13.2861,40.92,-97.65
Rodentia,Muridae,Clethrionomys,rutilus,Clethrionomys rutilus,19.9,0.0199,4130,82.187,55.73,3.99
Chiroptera,Phyllostomidae,Chiroderma,doriae,Chiroderma doriae,19.9,0.0199,,0,-21.51,-45.23
Rodentia,Muridae,Clethrionomys,gapperi,Clethrionomys gapperi,19.8,0.0198,1190,23.562,47.63,-94.16
Chiroptera,Phyllostomidae,Artibeus,concolor,Artibeus concolor,19.6,0.0196,,0,-1.5,-55.01
Chiroptera,Mormoopidae,Pteronotus,parnellii,Pteronotus parnellii,19.5,0.0195,,0,6.41,-73.16
Rodentia,Muridae,Mus,musculus,Mus musculus,19.3,0.0193,4900,94.57,,
Chiroptera,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,19.1,0.0191,,0,-4.14,-66.5
Insectivora,Soricidae,Blarina,brevicauda,Blarina brevicauda,18.4,0.0184,919,16.9096,44.24,-85.41
Rodentia,Dipodidae,Zapus,hudsonius,Zapus hudsonius,18.4,0.0184,882,16.2288,48.34,-109.5
Rodentia,Muridae,Clethrionomys,californicus,Clethrionomys californicus,18.3,0.0183,440,8.052,42.06,-122.57
Rodentia,Muridae,Peromyscus,leucopus,Peromyscus leucopus,18.1,0.0181,1420,25.702,33.49,-87.53
Rodentia,Muridae,Microtus,subterraneus,Microtus subterraneus,17.8,0.0178,,0,50.81,18.72
Chiroptera,Pteropodidae,Syconycteris,australis,Syconycteris australis,17.6,0.0176,,0,-16.55,140.13
Rodentia,Muridae,Eligmodontia,typus,Eligmodontia typus,17.4,0.0174,,0,-41.17,-64.68
Chiroptera,Vespertilionidae,Eptesicus,fuscus,Eptesicus fuscus,17.3,0.0173,,0,31.15,-93
Rodentia,Muridae,Malacothrix,typica,Malacothrix typica,17,0.017,,0,-21.23,20.87
Dasyuromorphia,Dasyuridae,Sminthopsis,murina,Sminthopsis murina,17,0.017,600,10.2,-27.47,146.41
Insectivora,Soricidae,Crocidura,poensis,Crocidura poensis,16.7,0.0167,,0,3.06,1.41
Rodentia,Muridae,Mus,spretus,Mus spretus,16.7,0.0167,,0,36.16,1.26
Chiroptera,Pteropodidae,Macroglossus,minimus,Macroglossus minimus,16.3,0.0163,,0,-1.28,128.79
Rodentia,Muridae,Peromyscus,crinitus,Peromyscus crinitus,16.3,0.0163,1210,19.723,36.88,-114.32
Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Sminthopsis crassicaudata,16.3,0.0163,50,0.815,-28.79,132.03
